shipment_id,order_id,shipment_date,carrier,tracking_number,delivery_date,shipment_status
120,120,2024-04-09,FedEx,TRK761638,2024-04-12,Shipped
121,121,2023-11-12,UPS,TRK288041,2023-11-15,Delivered
122,122,2024-08-25,DHL,TRK660386,2024-09-01,Shipped
123,123,2024-02-20,FedEx,TRK284905,2024-02-22,Pending
124,124,2024-09-22,UPS,TRK876902,2024-09-23,Delivered
125,125,2024-03-13,DHL,TRK116437,2024-03-16,Shipped
126,126,2024-09-11,FedEx,TRK757174,2024-09-14,Shipped
127,127,2024-09-04,UPS,TRK943174,2024-09-10,Cancelled
128,128,2024-06-16,DHL,TRK233559,2024-06-22,Shipped
129,129,2024-05-04,FedEx,TRK477484,2024-05-06,Delivered
130,130,2024-04-18,UPS,TRK077977,2024-04-25,Delivered
131,131,2024-05-17,DHL,TRK850976,2024-05-22,Shipped
132,132,2024-09-29,FedEx,TRK785266,2024-10-06,Pending
133,133,2024-10-13,UPS,TRK802058,2024-10-14,Delivered
134,134,2024-01-20,DHL,TRK815000,2024-01-27,Shipped
135,135,2024-09-25,FedEx,TRK520023,2024-09-26,Cancelled
136,136,2024-10-21,UPS,TRK920637,2024-10-25,Pending
137,137,2024-10-17,DHL,TRK604502,2024-10-21,Shipped
138,138,2024-01-02,FedEx,TRK853084,2024-01-03,Shipped
139,139,2023-11-28,UPS,TRK517085,2023-12-02,Shipped
140,140,2024-05-22,DHL,TRK021790,2024-05-30,Pending
141,141,2024-10-09,FedEx,TRK469479,2024-10-14,Pending
142,142,2024-09-18,UPS,TRK244578,2024-09-22,Delivered
143,143,2023-12-13,DHL,TRK526994,2023-12-17,Shipped
144,144,2024-08-28,FedEx,TRK449442,2024-09-02,Pending
145,145,2024-04-19,UPS,TRK263485,2024-04-22,Shipped
146,146,2024-03-14,DHL,TRK400459,2024-03-20,Shipped
147,147,2023-12-11,FedEx,TRK451050,2023-12-15,Delivered
148,148,2024-08-07,UPS,TRK065105,2024-08-14,Delivered
149,149,2024-07-09,DHL,TRK290506,2024-07-12,Delivered
150,150,2024-09-12,FedEx,TRK146253,2024-09-18,Shipped
151,151,2024-10-07,UPS,TRK980624,2024-10-15,Shipped
152,152,2024-08-28,DHL,TRK613129,2024-09-03,Pending
153,153,2024-04-20,FedEx,TRK062053,2024-04-27,Shipped
154,154,2024-07-11,UPS,TRK470561,2024-07-15,Delivered
155,155,2024-01-01,DHL,TRK346265,2024-01-08,Delivered
156,156,2024-04-08,FedEx,TRK584422,2024-04-10,Delivered
157,157,2024-07-30,UPS,TRK967864,2024-08-06,Pending
158,158,2024-06-21,DHL,TRK816873,2024-06-29,Shipped
159,159,2024-01-13,FedEx,TRK548336,2024-01-20,Shipped
160,160,2024-07-12,UPS,TRK551540,2024-07-19,Shipped
161,161,2023-12-14,DHL,TRK195520,2023-12-19,Shipped
162,162,2024-07-27,FedEx,TRK200784,2024-07-28,Delivered
163,163,2024-08-19,UPS,TRK989466,2024-08-23,Pending
164,164,2024-03-25,DHL,TRK581776,2024-03-27,Shipped
165,165,2023-12-18,FedEx,TRK408465,2023-12-21,Shipped
166,166,2024-01-12,UPS,TRK151953,2024-01-20,Delivered
167,167,2024-01-17,DHL,TRK776340,2024-01-24,Delivered
168,168,2024-06-21,FedEx,TRK461789,2024-06-27,Shipped
169,169,2024-07-05,UPS,TRK637398,2024-07-11,Delivered
170,170,2023-12-17,DHL,TRK519780,2023-12-23,Shipped
171,171,2024-09-26,FedEx,TRK925215,2024-09-30,Pending
172,172,2024-07-01,UPS,TRK657620,2024-07-04,Cancelled
173,173,2023-12-27,DHL,TRK920980,2023-12-29,Delivered
174,174,2024-05-10,FedEx,TRK468701,2024-05-13,Pending
175,175,2024-08-11,UPS,TRK071714,2024-08-18,Shipped
176,176,2024-02-23,DHL,TRK309321,2024-02-29,Pending
177,177,2024-03-22,FedEx,TRK341124,2024-03-29,Shipped
178,178,2023-12-24,UPS,TRK252081,2023-12-30,Delivered
179,179,2024-06-12,DHL,TRK031087,2024-06-16,Delivered
180,180,2024-01-21,FedEx,TRK927295,2024-01-27,Shipped
181,181,2024-03-22,UPS,TRK833516,2024-03-25,Delivered
182,182,2024-08-10,DHL,TRK998814,2024-08-12,Delivered
183,183,2024-06-14,FedEx,TRK907389,2024-06-16,Delivered
184,184,2024-08-04,UPS,TRK307131,2024-08-07,Delivered
185,185,2024-07-21,DHL,TRK700340,2024-07-27,Pending
186,186,2024-08-19,FedEx,TRK757292,2024-08-21,Shipped
187,187,2024-06-04,UPS,TRK567514,2024-06-05,Shipped
188,188,2024-01-17,DHL,TRK427186,2024-01-20,Delivered
189,189,2024-07-06,FedEx,TRK790103,2024-07-07,Shipped
190,190,2024-02-27,UPS,TRK138842,2024-03-03,Pending
191,191,2024-01-21,DHL,TRK968004,2024-01-24,Delivered
192,192,2024-04-16,FedEx,TRK651030,2024-04-21,Delivered
193,193,2024-11-04,UPS,TRK484558,2024-11-08,Pending
194,194,2024-09-20,DHL,TRK714160,2024-09-23,Delivered
195,195,2024-03-19,FedEx,TRK802407,2024-03-21,Shipped
196,196,2024-02-22,UPS,TRK634481,2024-02-25,Shipped
197,197,2024-09-09,DHL,TRK771027,2024-09-11,Shipped
198,198,2024-06-29,FedEx,TRK762752,2024-07-04,Delivered
199,199,2024-06-25,UPS,TRK622781,2024-06-30,Delivered
200,200,2024-01-31,DHL,TRK479911,2024-02-05,Shipped
201,201,2024-03-31,FedEx,TRK120287,2024-04-07,Delivered
202,202,2024-10-21,UPS,TRK497929,2024-10-25,Shipped
203,203,2023-11-24,DHL,TRK599542,2023-11-28,Shipped
204,204,2024-03-23,FedEx,TRK658725,2024-03-28,Pending
205,205,2024-05-12,UPS,TRK757003,2024-05-17,Pending
206,206,2024-05-07,DHL,TRK159339,2024-05-09,Shipped
207,207,2024-08-22,FedEx,TRK116808,2024-08-26,Shipped
208,208,2023-12-29,UPS,TRK741357,2024-01-02,Shipped
209,209,2024-04-03,DHL,TRK149755,2024-04-06,Shipped
210,210,2024-08-31,FedEx,TRK722927,2024-09-01,Delivered
211,211,2024-03-20,UPS,TRK613072,2024-03-22,Shipped
212,212,2024-08-14,DHL,TRK635995,2024-08-19,Shipped
213,213,2023-12-11,FedEx,TRK618381,2023-12-18,Delivered
214,214,2024-09-25,UPS,TRK794179,2024-10-02,Pending
215,215,2024-08-07,DHL,TRK170352,2024-08-10,Shipped
216,216,2024-10-30,FedEx,TRK546533,2024-11-02,Shipped
217,217,2024-05-07,UPS,TRK660729,2024-05-09,Pending
218,218,2024-01-19,DHL,TRK960131,2024-01-22,Delivered
219,219,2023-12-04,FedEx,TRK123392,2023-12-11,Pending
220,220,2024-01-25,UPS,TRK551408,2024-02-01,Shipped
221,221,2024-04-30,DHL,TRK952712,2024-05-04,Cancelled
222,222,2023-11-23,FedEx,TRK561679,2023-11-28,Delivered
223,223,2024-03-26,UPS,TRK000178,2024-03-31,Shipped
224,224,2024-03-25,DHL,TRK466990,2024-03-30,Pending
225,225,2024-01-04,FedEx,TRK450201,2024-01-09,Delivered
226,226,2024-06-09,UPS,TRK838899,2024-06-17,Delivered
227,227,2024-06-09,DHL,TRK911143,2024-06-16,Shipped
228,228,2024-10-17,FedEx,TRK573881,2024-10-19,Pending
229,229,2023-11-22,UPS,TRK887216,2023-11-24,Delivered
230,230,2024-02-11,DHL,TRK259732,2024-02-16,Cancelled
231,231,2024-10-23,FedEx,TRK311317,2024-10-30,Delivered
232,232,2024-08-24,UPS,TRK800569,2024-08-29,Shipped
233,233,2023-11-17,DHL,TRK532812,2023-11-23,Delivered
234,234,2024-09-29,FedEx,TRK947776,2024-10-06,Pending
235,235,2024-04-29,UPS,TRK979475,2024-05-02,Shipped
236,236,2024-03-15,DHL,TRK978801,2024-03-21,Delivered
237,237,2023-11-20,FedEx,TRK099270,2023-11-22,Shipped
238,238,2024-04-12,UPS,TRK269510,2024-04-13,Delivered
239,239,2024-08-12,DHL,TRK979808,2024-08-16,Pending
240,240,2024-09-18,FedEx,TRK948923,2024-09-25,Delivered
241,241,2024-02-26,UPS,TRK602225,2024-02-28,Delivered
242,242,2024-09-27,DHL,TRK711051,2024-10-02,Shipped
243,243,2024-08-30,FedEx,TRK420473,2024-09-06,Shipped
244,244,2023-11-13,UPS,TRK885770,2023-11-19,Pending
245,245,2024-08-27,DHL,TRK823176,2024-09-02,Shipped
246,246,2024-07-26,FedEx,TRK734359,2024-08-02,Delivered
247,247,2024-05-20,UPS,TRK337976,2024-05-24,Pending
248,248,2024-10-18,DHL,TRK311659,2024-10-25,Pending
249,249,2024-06-24,FedEx,TRK313610,2024-06-25,Shipped
250,250,2024-08-11,UPS,TRK485711,2024-08-12,Delivered
251,251,2023-12-16,DHL,TRK878683,2023-12-20,Delivered
252,252,2024-03-27,FedEx,TRK019877,2024-04-03,Delivered
253,253,2024-06-05,UPS,TRK935298,2024-06-10,Shipped
254,254,2024-10-11,DHL,TRK498928,2024-10-15,Pending
255,255,2024-09-21,FedEx,TRK109810,2024-09-22,Delivered
256,256,2024-10-10,UPS,TRK249994,2024-10-12,Delivered
257,257,2024-05-26,DHL,TRK893758,2024-05-31,Delivered
258,258,2024-01-19,FedEx,TRK702239,2024-01-23,Delivered
259,259,2024-06-17,UPS,TRK959126,2024-06-19,Delivered
260,260,2024-07-19,DHL,TRK360921,2024-07-20,Pending
261,261,2024-10-09,FedEx,TRK999426,2024-10-15,Delivered
262,262,2023-11-14,UPS,TRK269867,2023-11-22,Shipped
263,263,2024-07-24,DHL,TRK975978,2024-07-26,Delivered
264,264,2024-01-21,FedEx,TRK423347,2024-01-24,Cancelled
265,265,2024-06-25,UPS,TRK849862,2024-06-30,Shipped
266,266,2024-10-27,DHL,TRK952116,2024-10-28,Shipped
267,267,2024-04-23,FedEx,TRK750829,2024-04-26,Shipped
268,268,2024-09-21,UPS,TRK777366,2024-09-27,Shipped
269,269,2024-05-18,DHL,TRK661250,2024-05-19,Pending
270,270,2023-12-17,FedEx,TRK342671,2023-12-19,Shipped
271,271,2024-06-01,UPS,TRK151164,2024-06-07,Delivered
272,272,2024-01-23,DHL,TRK725760,2024-01-27,Delivered
273,273,2024-09-09,FedEx,TRK337645,2024-09-15,Shipped
274,274,2024-10-09,UPS,TRK961231,2024-10-12,Delivered
275,275,2024-01-19,DHL,TRK454702,2024-01-24,Delivered
276,276,2024-01-20,FedEx,TRK742723,2024-01-25,Delivered
277,277,2023-12-08,UPS,TRK009431,2023-12-10,Delivered
278,278,2024-06-21,DHL,TRK659930,2024-06-29,Shipped
279,279,2024-04-03,FedEx,TRK165593,2024-04-08,Cancelled
280,280,2024-09-25,UPS,TRK766771,2024-10-01,Delivered
281,281,2023-12-27,DHL,TRK216708,2023-12-30,Shipped
282,282,2024-04-08,FedEx,TRK747963,2024-04-10,Shipped
283,283,2023-11-13,UPS,TRK083560,2023-11-17,Delivered
284,284,2024-07-18,DHL,TRK262287,2024-07-21,Delivered
285,285,2024-05-31,FedEx,TRK050171,2024-06-08,Shipped
286,286,2024-05-24,UPS,TRK693744,2024-05-28,Shipped
287,287,2024-06-11,DHL,TRK396776,2024-06-13,Pending
288,288,2024-03-05,FedEx,TRK673295,2024-03-08,Pending
289,289,2024-08-16,UPS,TRK329862,2024-08-21,Delivered
290,290,2024-05-09,DHL,TRK284736,2024-05-14,Delivered
291,291,2024-02-04,FedEx,TRK444141,2024-02-06,Delivered
292,292,2024-06-24,UPS,TRK109673,2024-06-28,Pending
293,293,2024-04-16,DHL,TRK361409,2024-04-17,Cancelled
294,294,2024-08-26,FedEx,TRK839025,2024-08-29,Pending
295,295,2024-10-05,UPS,TRK932379,2024-10-13,Cancelled
296,296,2024-06-09,DHL,TRK184044,2024-06-13,Shipped
297,297,2023-11-25,FedEx,TRK484527,2023-11-26,Pending
298,298,2024-11-03,UPS,TRK041950,2024-11-11,Delivered
299,299,2024-10-25,DHL,TRK273290,2024-11-02,Delivered
300,300,2024-03-28,FedEx,TRK533759,2024-04-02,Pending
301,301,2024-08-30,UPS,TRK611240,2024-09-06,Delivered
302,302,2024-02-14,DHL,TRK034046,2024-02-20,Delivered
303,303,2024-06-21,FedEx,TRK983766,2024-06-25,Shipped
304,304,2023-12-26,UPS,TRK618442,2024-01-02,Delivered
305,305,2024-04-11,DHL,TRK438086,2024-04-17,Delivered
306,306,2024-01-28,FedEx,TRK240590,2024-01-31,Pending
307,307,2024-09-13,UPS,TRK864558,2024-09-15,Delivered
308,308,2024-04-26,DHL,TRK001041,2024-05-02,Cancelled
309,309,2024-03-20,FedEx,TRK640405,2024-03-24,Delivered
310,310,2024-08-02,UPS,TRK902383,2024-08-07,Shipped
311,311,2024-02-20,DHL,TRK322376,2024-02-27,Shipped
312,312,2023-11-25,FedEx,TRK145267,2023-12-02,Delivered
313,313,2024-01-19,UPS,TRK188241,2024-01-24,Shipped
314,314,2024-01-01,DHL,TRK535982,2024-01-02,Pending
315,315,2024-09-25,FedEx,TRK111101,2024-09-30,Delivered
316,316,2024-02-10,UPS,TRK811055,2024-02-17,Shipped
317,317,2023-12-21,DHL,TRK812878,2023-12-24,Pending
318,318,2024-05-04,FedEx,TRK144233,2024-05-08,Delivered
319,319,2024-05-27,UPS,TRK869898,2024-05-31,Delivered
320,320,2024-09-21,DHL,TRK600618,2024-09-29,Delivered
321,321,2024-06-28,FedEx,TRK177368,2024-06-29,Shipped
322,322,2023-11-12,UPS,TRK080452,2023-11-17,Pending
323,323,2024-04-17,DHL,TRK517821,2024-04-19,Shipped
324,324,2024-02-08,FedEx,TRK018312,2024-02-14,Delivered
325,325,2024-02-27,UPS,TRK691409,2024-03-02,Delivered
326,326,2024-09-13,DHL,TRK234014,2024-09-14,Shipped
327,327,2024-02-10,FedEx,TRK500776,2024-02-14,Shipped
328,328,2023-12-16,UPS,TRK298029,2023-12-23,Delivered
329,329,2024-06-15,DHL,TRK455071,2024-06-18,Shipped
330,330,2024-03-19,FedEx,TRK565241,2024-03-20,Shipped
331,331,2024-05-15,UPS,TRK083094,2024-05-16,Shipped
332,332,2024-08-08,DHL,TRK847279,2024-08-14,Pending
333,333,2024-01-11,FedEx,TRK820122,2024-01-12,Pending
334,334,2024-03-29,UPS,TRK626160,2024-04-05,Delivered
335,335,2024-01-06,DHL,TRK692917,2024-01-13,Shipped
336,336,2024-08-09,FedEx,TRK284872,2024-08-15,Delivered
337,337,2024-04-27,UPS,TRK146916,2024-04-30,Shipped
338,338,2024-06-09,DHL,TRK405947,2024-06-17,Delivered
339,339,2024-02-06,FedEx,TRK378018,2024-02-10,Shipped
340,340,2024-02-03,UPS,TRK744530,2024-02-09,Shipped
341,341,2024-08-03,DHL,TRK900801,2024-08-08,Shipped
342,342,2024-02-19,FedEx,TRK616841,2024-02-24,Pending
343,343,2024-04-20,UPS,TRK951128,2024-04-23,Delivered
344,344,2024-05-31,DHL,TRK513880,2024-06-05,Delivered
345,345,2024-02-03,FedEx,TRK095420,2024-02-08,Shipped
346,346,2024-10-25,UPS,TRK964826,2024-10-31,Delivered
347,347,2024-10-11,DHL,TRK934226,2024-10-14,Shipped
348,348,2024-02-24,FedEx,TRK818166,2024-02-25,Shipped
349,349,2024-08-19,UPS,TRK485810,2024-08-25,Shipped
350,350,2023-11-17,DHL,TRK993833,2023-11-23,Shipped
351,351,2023-12-22,FedEx,TRK680472,2023-12-28,Pending
352,352,2024-09-01,UPS,TRK551722,2024-09-08,Pending
353,353,2024-08-06,DHL,TRK296346,2024-08-09,Pending
354,354,2024-06-03,FedEx,TRK999761,2024-06-10,Delivered
355,355,2024-08-04,UPS,TRK451832,2024-08-11,Shipped
356,356,2024-05-10,DHL,TRK214430,2024-05-11,Delivered
357,357,2023-12-17,FedEx,TRK789699,2023-12-20,Delivered
358,358,2024-05-25,UPS,TRK480191,2024-05-27,Shipped
359,359,2024-04-19,DHL,TRK369578,2024-04-27,Pending
360,360,2024-02-20,FedEx,TRK035018,2024-02-27,Delivered
361,361,2024-10-26,UPS,TRK066115,2024-11-01,Delivered
362,362,2024-05-04,DHL,TRK535727,2024-05-07,Pending
363,363,2024-01-16,FedEx,TRK780825,2024-01-22,Shipped
364,364,2024-06-03,UPS,TRK955755,2024-06-06,Delivered
365,365,2024-10-05,DHL,TRK386156,2024-10-12,Delivered
366,366,2024-01-20,FedEx,TRK323270,2024-01-25,Cancelled
367,367,2024-04-18,UPS,TRK955771,2024-04-22,Delivered
368,368,2024-05-13,DHL,TRK184151,2024-05-20,Pending
369,369,2024-04-18,FedEx,TRK280390,2024-04-19,Shipped
370,370,2024-05-22,UPS,TRK993058,2024-05-29,Shipped
371,371,2024-04-08,DHL,TRK576455,2024-04-10,Pending
372,372,2023-12-16,FedEx,TRK244697,2023-12-24,Pending
373,373,2024-06-14,UPS,TRK477320,2024-06-21,Pending
374,374,2024-04-26,DHL,TRK537732,2024-04-28,Shipped
375,375,2024-11-04,FedEx,TRK406136,2024-11-08,Delivered
376,376,2024-01-27,UPS,TRK883729,2024-01-31,Shipped
377,377,2024-04-17,DHL,TRK944081,2024-04-20,Shipped
378,378,2024-01-01,FedEx,TRK048693,2024-01-06,Pending
379,379,2024-10-12,UPS,TRK545706,2024-10-19,Shipped
380,380,2024-09-28,DHL,TRK348239,2024-10-02,Delivered
381,381,2023-12-11,FedEx,TRK999529,2023-12-13,Shipped
382,382,2024-04-27,UPS,TRK502526,2024-04-29,Shipped
383,383,2024-08-31,DHL,TRK995106,2024-09-03,Pending
384,384,2023-12-26,FedEx,TRK585814,2023-12-29,Shipped
385,385,2024-07-27,UPS,TRK495246,2024-07-30,Shipped
386,386,2024-01-30,DHL,TRK403171,2024-02-04,Delivered
387,387,2024-06-22,FedEx,TRK091888,2024-06-29,Pending
388,388,2024-01-25,UPS,TRK614430,2024-01-30,Delivered
389,389,2024-10-12,DHL,TRK667677,2024-10-16,Delivered
390,390,2024-02-19,FedEx,TRK900704,2024-02-23,Delivered
391,391,2024-06-30,UPS,TRK254989,2024-07-04,Shipped
392,392,2024-02-21,DHL,TRK916014,2024-02-26,Pending
393,393,2024-03-14,FedEx,TRK713606,2024-03-18,Pending
394,394,2024-01-27,UPS,TRK527199,2024-02-03,Delivered
395,395,2024-10-07,DHL,TRK910872,2024-10-12,Delivered
396,396,2024-11-02,FedEx,TRK291084,2024-11-05,Shipped
397,397,2024-02-16,UPS,TRK690238,2024-02-19,Shipped
398,398,2024-08-29,DHL,TRK523724,2024-08-30,Delivered
399,399,2024-08-22,FedEx,TRK485851,2024-08-23,Pending
400,400,2024-06-14,UPS,TRK812509,2024-06-18,Delivered
401,401,2024-08-17,DHL,TRK584033,2024-08-21,Delivered
402,402,2024-01-14,FedEx,TRK534476,2024-01-16,Pending
403,403,2024-10-27,UPS,TRK073745,2024-10-28,Shipped
404,404,2024-03-20,DHL,TRK379041,2024-03-23,Delivered
405,405,2024-02-16,FedEx,TRK019686,2024-02-22,Pending
406,406,2024-06-09,UPS,TRK768714,2024-06-14,Pending
407,407,2024-04-27,DHL,TRK670474,2024-05-01,Pending
408,408,2023-12-28,FedEx,TRK225050,2023-12-31,Delivered
409,409,2024-06-20,UPS,TRK461550,2024-06-22,Shipped
410,410,2024-10-15,DHL,TRK671768,2024-10-22,Shipped
411,411,2024-02-20,FedEx,TRK662236,2024-02-21,Delivered
412,412,2024-10-10,UPS,TRK798441,2024-10-18,Delivered
413,413,2024-08-05,DHL,TRK675081,2024-08-07,Shipped
414,414,2024-07-09,FedEx,TRK943611,2024-07-15,Shipped
415,415,2024-07-20,UPS,TRK929734,2024-07-27,Pending
416,416,2024-05-21,DHL,TRK600365,2024-05-25,Shipped
417,417,2024-04-04,FedEx,TRK622031,2024-04-09,Shipped
418,418,2024-01-27,UPS,TRK678843,2024-02-01,Cancelled
419,419,2024-01-06,DHL,TRK269342,2024-01-09,Pending
420,420,2024-09-25,FedEx,TRK351957,2024-09-29,Shipped
