payment_id,order_id,payment_method,amount,transaction_status
133,133,Credit Card,753.84,Completed
134,134,Credit Card,8.17,Completed
135,135,Credit Card,303.48,Completed
136,136,Credit Card,239.50,Completed
137,137,Credit Card,131.80,Completed
138,138,Credit Card,742.86,Completed
139,139,Credit Card,934.60,Completed
140,140,Credit Card,481.74,Completed
141,141,Credit Card,485.24,Completed
142,142,Credit Card,347.58,Completed
143,143,Credit Card,947.50,Completed
144,144,Credit Card,237.10,Completed
145,145,Credit Card,722.70,Completed
146,146,Credit Card,20.76,Completed
147,147,Credit Card,31.62,Completed
148,148,Credit Card,914.40,Completed
149,149,Credit Card,624.88,Completed
150,150,Credit Card,628.48,Completed
151,151,Credit Card,982.40,Completed
152,152,Credit Card,725.13,Completed
153,153,Credit Card,753.03,Completed
154,154,Credit Card,38.96,Completed
155,155,Credit Card,976.00,Completed
156,156,Credit Card,976.10,Completed
157,157,Credit Card,486.64,Completed
158,158,Credit Card,33.38,Completed
159,159,Credit Card,26.02,Completed
160,160,Credit Card,239.95,Completed
161,161,Credit Card,486.08,Completed
162,162,Credit Card,9.90,Completed
163,163,Credit Card,961.20,Completed
164,164,Credit Card,37.56,Completed
165,165,Credit Card,935.90,Completed
166,166,Credit Card,27.66,Completed
167,167,Credit Card,152.80,Completed
168,168,Credit Card,773.10,Completed
169,169,Credit Card,135.80,Completed
170,170,Credit Card,789.39,Completed
171,171,Credit Card,984.20,Completed
172,172,Credit Card,4.87,Completed
173,173,Credit Card,431.13,Completed
174,174,Credit Card,736.92,Completed
175,175,Credit Card,32.90,Completed
176,176,Credit Card,86.19,Completed
177,177,Credit Card,756.63,Completed
178,178,Credit Card,333.48,Completed
179,179,Credit Card,765.63,Completed
180,180,Credit Card,435.19,Completed
181,181,Credit Card,428.33,Completed
182,182,Credit Card,65.46,Completed
183,183,Credit Card,935.70,Completed
184,184,Credit Card,215.15,Completed
185,185,Credit Card,4.63,Completed
186,186,Credit Card,38.88,Completed
187,187,Credit Card,584.56,Completed
188,188,Credit Card,599.44,Completed
189,189,Credit Card,622.00,Completed
190,190,Credit Card,31.14,Completed
191,191,Credit Card,1.96,Completed
192,192,Credit Card,782.01,Completed
193,193,Credit Card,597.20,Completed
194,194,Credit Card,64.71,Completed
195,195,Credit Card,459.48,Completed
196,196,Credit Card,85.29,Completed
197,197,Credit Card,153.36,Completed
198,198,Credit Card,486.57,Completed
199,199,Credit Card,202.00,Completed
200,200,Credit Card,736.29,Completed
201,201,Credit Card,797.49,Completed
202,202,Credit Card,614.48,Completed
203,203,Credit Card,993.40,Completed
204,204,Credit Card,311.58,Completed
205,205,Credit Card,21.54,Completed
206,206,Credit Card,321.60,Completed
207,207,Credit Card,327.90,Completed
208,208,Credit Card,39.40,Completed
209,209,Credit Card,729.90,Completed
210,210,Credit Card,6.76,Completed
211,211,Credit Card,473.83,Completed
212,212,Credit Card,0.85,Completed
213,213,Credit Card,338.64,Completed
214,214,Credit Card,955.10,Completed
215,215,Credit Card,721.71,Completed
216,216,Credit Card,234.50,Completed
217,217,Credit Card,222.20,Completed
218,218,Credit Card,425.95,Completed
219,219,Credit Card,123.88,Completed
220,220,Credit Card,235.90,Completed
221,221,Credit Card,84.00,Completed
222,222,Credit Card,420.14,Completed
223,223,Credit Card,591.28,Completed
224,224,Credit Card,38.38,Completed
225,225,Credit Card,574.24,Completed
226,226,Credit Card,221.35,Completed
227,227,Credit Card,34.94,Completed
228,228,Credit Card,34.46,Completed
229,229,Credit Card,4.61,Completed
230,230,Credit Card,7.53,Completed
231,231,Credit Card,976.60,Completed
232,232,Credit Card,322.02,Completed
233,233,Credit Card,62.67,Completed
234,234,Credit Card,794.43,Completed
235,235,Credit Card,328.86,Completed
236,236,Credit Card,214.75,Completed
237,237,Credit Card,86.88,Completed
238,238,Credit Card,775.17,Completed
239,239,Credit Card,457.94,Completed
240,240,Credit Card,79.95,Completed
241,241,Credit Card,456.82,Completed
242,242,Credit Card,797.40,Completed
243,243,Credit Card,435.33,Completed
244,244,Credit Card,735.93,Completed
245,245,Credit Card,607.44,Completed
246,246,Credit Card,231.10,Completed
247,247,Credit Card,222.10,Completed
248,248,Credit Card,153.20,Completed
249,249,Credit Card,965.30,Completed
250,250,Credit Card,3.55,Completed
251,251,Credit Card,631.92,Completed
252,252,Credit Card,300.54,Completed
253,253,Credit Card,999.20,Completed
254,254,Credit Card,135.76,Completed
255,255,Credit Card,21.30,Completed
256,256,Credit Card,435.40,Completed
257,257,Credit Card,211.75,Completed
258,258,Credit Card,66.51,Completed
259,259,Credit Card,247.60,Completed
260,260,Credit Card,9.53,Completed
261,261,Credit Card,35.58,Completed
262,262,Credit Card,21.44,Completed
263,263,Credit Card,149.12,Completed
264,264,Credit Card,157.52,Completed
265,265,Credit Card,86.76,Completed
266,266,Credit Card,0.55,Completed
267,267,Credit Card,121.36,Completed
268,268,Credit Card,38.96,Completed
269,269,Credit Card,2.61,Completed
270,270,Credit Card,331.98,Completed
271,271,Credit Card,4.29,Completed
272,272,Credit Card,241.45,Completed
273,273,Credit Card,142.00,Completed
274,274,Credit Card,31.96,Completed
275,275,Credit Card,304.08,Completed
276,276,Credit Card,146.04,Completed
277,277,Credit Card,613.84,Completed
278,278,Credit Card,6.40,Completed
279,279,Credit Card,25.04,Completed
280,280,Credit Card,995.30,Completed
281,281,Credit Card,83.70,Completed
282,282,Credit Card,730.89,Completed
283,283,Credit Card,311.16,Completed
284,284,Credit Card,993.10,Completed
285,285,Credit Card,967.70,Completed
286,286,Credit Card,343.38,Completed
287,287,Credit Card,729.81,Completed
288,288,Credit Card,2.49,Completed
289,289,Credit Card,212.45,Completed
290,290,Credit Card,467.04,Completed
291,291,Credit Card,915.10,Completed
292,292,Credit Card,324.60,Completed
293,293,Credit Card,64.98,Completed
294,294,Credit Card,23.88,Completed
295,295,Credit Card,326.46,Completed
296,296,Credit Card,63.18,Completed
297,297,Credit Card,933.20,Completed
298,298,Credit Card,80.28,Completed
299,299,Credit Card,620.48,Completed
300,300,Credit Card,316.20,Completed
301,301,Credit Card,304.86,Completed
302,302,Credit Card,610.48,Completed
303,303,Credit Card,724.14,Completed
304,304,Credit Card,152.12,Completed
305,305,Credit Card,744.03,Completed
306,306,Credit Card,131.04,Completed
307,307,Credit Card,36.12,Completed
308,308,Credit Card,756.90,Completed
309,309,Credit Card,331.44,Completed
310,310,Credit Card,230.10,Completed
311,311,Credit Card,590.80,Completed
312,312,Credit Card,637.28,Completed
313,313,Credit Card,604.56,Completed
314,314,Credit Card,344.16,Completed
315,315,Credit Card,605.76,Completed
316,316,Credit Card,742.32,Completed
317,317,Credit Card,138.68,Completed
318,318,Credit Card,226.55,Completed
319,319,Credit Card,0.87,Completed
320,320,Credit Card,441.77,Completed
321,321,Credit Card,65.67,Completed
322,322,Credit Card,28.28,Completed
323,323,Credit Card,147.52,Completed
324,324,Credit Card,144.40,Completed
325,325,Credit Card,304.50,Completed
326,326,Credit Card,228.50,Completed
327,327,Credit Card,609.20,Completed
328,328,Credit Card,219.70,Completed
329,329,Credit Card,735.84,Completed
330,330,Credit Card,332.10,Completed
331,331,Credit Card,578.08,Completed
332,332,Credit Card,465.99,Completed
333,333,Credit Card,77.55,Completed
334,334,Credit Card,991.30,Completed
335,335,Credit Card,223.40,Completed
336,336,Credit Card,133.04,Completed
337,337,Credit Card,145.36,Completed
338,338,Credit Card,2.08,Completed
339,339,Credit Card,940.80,Completed
340,340,Credit Card,159.32,Completed
341,341,Credit Card,454.93,Completed
342,342,Credit Card,25.18,Completed
343,343,Credit Card,225.45,Completed
344,344,Credit Card,321.96,Completed
345,345,Credit Card,469.63,Completed
346,346,Credit Card,329.88,Completed
347,347,Credit Card,349.92,Completed
348,348,Credit Card,70.80,Completed
349,349,Credit Card,214.40,Completed
350,350,Credit Card,563.44,Completed
351,351,Credit Card,344.40,Completed
352,352,Credit Card,0.48,Completed
353,353,Credit Card,311.28,Completed
354,354,Credit Card,30.82,Completed
355,355,Credit Card,462.70,Completed
356,356,Credit Card,6.64,Completed
357,357,Credit Card,66.60,Completed
358,358,Credit Card,570.00,Completed
359,359,Credit Card,927.90,Completed
360,360,Credit Card,208.45,Completed
361,361,Credit Card,302.04,Completed
362,362,Credit Card,737.37,Completed
363,363,Credit Card,9.45,Completed
364,364,Credit Card,132.60,Completed
365,365,Credit Card,38.96,Completed
366,366,Credit Card,300.48,Completed
367,367,Credit Card,605.36,Completed
368,368,Credit Card,2.04,Completed
369,369,Credit Card,9.55,Completed
370,370,Credit Card,437.08,Completed
371,371,Credit Card,337.86,Completed
372,372,Credit Card,213.70,Completed
373,373,Credit Card,8.84,Completed
374,374,Credit Card,568.00,Completed
375,375,Credit Card,75.33,Completed
376,376,Credit Card,484.68,Completed
377,377,Credit Card,628.24,Completed
378,378,Credit Card,130.24,Completed
379,379,Credit Card,433.16,Completed
380,380,Credit Card,147.28,Completed
381,381,Credit Card,153.00,Completed
382,382,Credit Card,598.08,Completed
383,383,Credit Card,144.88,Completed
384,384,Credit Card,6.25,Completed
385,385,Credit Card,913.90,Completed
386,386,Credit Card,624.08,Completed
387,387,Credit Card,28.86,Completed
388,388,Credit Card,219.30,Completed
389,389,Credit Card,760.41,Completed
390,390,Credit Card,799.47,Completed
391,391,Credit Card,430.85,Completed
392,392,Credit Card,65.55,Completed
393,393,Credit Card,578.32,Completed
394,394,Credit Card,1.73,Completed
395,395,Credit Card,207.65,Completed
396,396,Credit Card,23.34,Completed
397,397,Credit Card,568.00,Completed
398,398,Credit Card,355.50,Completed
399,399,Credit Card,984.30,Completed
400,400,Credit Card,230.60,Completed
401,401,Credit Card,636.24,Completed
402,402,Credit Card,214.70,Completed
403,403,Credit Card,902.60,Completed
404,404,Credit Card,485.94,Completed
405,405,Credit Card,427.07,Completed
406,406,Credit Card,578.72,Completed
407,407,Credit Card,904.50,Completed
408,408,Credit Card,316.26,Completed
409,409,Credit Card,478.45,Completed
410,410,Credit Card,568.24,Completed
411,411,Credit Card,443.03,Completed
412,412,Credit Card,573.60,Completed
413,413,Credit Card,34.44,Completed
414,414,Credit Card,777.96,Completed
415,415,Credit Card,595.04,Completed
416,416,Credit Card,921.30,Completed
417,417,Credit Card,601.84,Completed
418,418,Credit Card,762.93,Completed
419,419,Credit Card,23.76,Completed
420,420,Credit Card,636.64,Completed
421,421,Credit Card,778.05,Completed
422,422,Credit Card,909.60,Completed
423,423,Credit Card,323.58,Completed
424,424,Credit Card,139.68,Completed
425,425,Credit Card,80.37,Completed
426,426,Credit Card,243.95,Completed
427,427,Credit Card,632.32,Completed
428,428,Credit Card,481.46,Completed
429,429,Credit Card,5.96,Completed
430,430,Credit Card,794.34,Completed
431,431,Credit Card,774.27,Completed
432,432,Credit Card,4.93,Completed
433,433,Credit Card,343.32,Completed
434,434,Credit Card,25.82,Completed
435,435,Credit Card,203.55,Completed
436,436,Credit Card,125.80,Completed
437,437,Credit Card,205.75,Completed
438,438,Credit Card,756.63,Completed
439,439,Credit Card,783.09,Completed
440,440,Credit Card,980.40,Completed
441,441,Credit Card,786.15,Completed
442,442,Credit Card,3.07,Completed
443,443,Credit Card,209.30,Completed
444,444,Credit Card,77.70,Completed
445,445,Credit Card,150.12,Completed
446,446,Credit Card,720.18,Completed
447,447,Credit Card,142.96,Completed
448,448,Credit Card,123.00,Completed
449,449,Credit Card,1.73,Completed
450,450,Credit Card,223.50,Completed
451,451,Credit Card,912.80,Completed
452,452,Credit Card,965.30,Completed
453,453,Credit Card,136.44,Completed
454,454,Credit Card,304.44,Completed
455,455,Credit Card,344.16,Completed
456,456,Credit Card,87.90,Completed
457,457,Credit Card,798.12,Completed
458,458,Credit Card,200.70,Completed
459,459,Credit Card,228.55,Completed
460,460,Credit Card,70.62,Completed
461,461,Credit Card,489.65,Completed
462,462,Credit Card,9.52,Completed
463,463,Credit Card,345.36,Completed
464,464,Credit Card,80.19,Completed
465,465,Credit Card,437.43,Completed
466,466,Credit Card,8.97,Completed
467,467,Credit Card,587.68,Completed
468,468,Credit Card,1.33,Completed
469,469,Credit Card,37.30,Completed
470,470,Credit Card,122.72,Completed
471,471,Credit Card,36.10,Completed
472,472,Credit Card,584.00,Completed
473,473,Credit Card,230.85,Completed
474,474,Credit Card,351.06,Completed
475,475,Credit Card,796.23,Completed
476,476,Credit Card,614.32,Completed
477,477,Credit Card,577.84,Completed
478,478,Credit Card,928.60,Completed
479,479,Credit Card,87.42,Completed
480,480,Credit Card,139.08,Completed
481,481,Credit Card,326.04,Completed
482,482,Credit Card,29.12,Completed
483,483,Credit Card,971.90,Completed
484,484,Credit Card,36.36,Completed
485,485,Credit Card,601.36,Completed
486,486,Credit Card,126.12,Completed
487,487,Credit Card,614.40,Completed
488,488,Credit Card,303.00,Completed
489,489,Credit Card,303.06,Completed
490,490,Credit Card,89.97,Completed
491,491,Credit Card,329.64,Completed
492,492,Credit Card,81.39,Completed
493,493,Credit Card,358.14,Completed
494,494,Credit Card,71.76,Completed
495,495,Credit Card,934.90,Completed
496,496,Credit Card,27.82,Completed
497,497,Credit Card,245.45,Completed
498,498,Credit Card,967.10,Completed
499,499,Credit Card,335.58,Completed
500,500,Credit Card,229.10,Completed
501,501,Credit Card,995.20,Completed
502,502,Credit Card,25.12,Completed
503,503,Credit Card,155.68,Completed
504,504,Credit Card,731.70,Completed
505,505,Credit Card,595.44,Completed
506,506,Credit Card,22.12,Completed
507,507,Credit Card,207.95,Completed
508,508,Credit Card,21.92,Completed
509,509,Credit Card,151.48,Completed
510,510,Credit Card,69.42,Completed
511,511,Credit Card,230.30,Completed
512,512,Credit Card,636.72,Completed
513,513,Credit Card,582.80,Completed
514,514,Credit Card,23.00,Completed
515,515,Credit Card,29.48,Completed
516,516,Credit Card,37.66,Completed
517,517,Credit Card,562.24,Completed
518,518,Credit Card,999.40,Completed
519,519,Credit Card,6.09,Completed
520,520,Credit Card,88.98,Completed
521,521,Credit Card,445.83,Completed
522,522,Credit Card,123.12,Completed
523,523,Credit Card,124.72,Completed
524,524,Credit Card,28.24,Completed
525,525,Credit Card,994.00,Completed
526,526,Credit Card,1.23,Completed
527,527,Credit Card,25.62,Completed
528,528,Credit Card,214.10,Completed
529,529,Credit Card,9.02,Completed
530,530,Credit Card,334.38,Completed
531,531,Credit Card,968.40,Completed
532,532,Credit Card,121.12,Completed
533,533,Credit Card,926.10,Completed
534,534,Credit Card,305.40,Completed
535,535,Credit Card,30.34,Completed
536,536,Credit Card,208.15,Completed
537,537,Credit Card,979.20,Completed
538,538,Credit Card,978.60,Completed
539,539,Credit Card,206.25,Completed
540,540,Credit Card,335.16,Completed
541,541,Credit Card,637.20,Completed
542,542,Credit Card,130.56,Completed
543,543,Credit Card,434.14,Completed
544,544,Credit Card,796.41,Completed
545,545,Credit Card,28.92,Completed
546,546,Credit Card,142.44,Completed
547,547,Credit Card,39.32,Completed
548,548,Credit Card,6.40,Completed
549,549,Credit Card,468.79,Completed
550,550,Credit Card,2.06,Completed
551,551,Credit Card,337.80,Completed
552,552,Credit Card,65.43,Completed
553,553,Credit Card,233.30,Completed
554,554,Credit Card,314.04,Completed
555,555,Credit Card,241.40,Completed
556,556,Credit Card,38.32,Completed
557,557,Credit Card,788.85,Completed
558,558,Credit Card,25.10,Completed
559,559,Credit Card,9.79,Completed
560,560,Credit Card,561.20,Completed
561,561,Credit Card,222.45,Completed
562,562,Credit Card,439.60,Completed
563,563,Credit Card,341.10,Completed
564,564,Credit Card,141.84,Completed
565,565,Credit Card,306.30,Completed
566,566,Credit Card,33.80,Completed
567,567,Credit Card,312.60,Completed
568,568,Credit Card,128.20,Completed
569,569,Credit Card,325.80,Completed
570,570,Credit Card,463.82,Completed
571,571,Credit Card,76.89,Completed
572,572,Credit Card,936.90,Completed
573,573,Credit Card,946.10,Completed
574,574,Credit Card,25.64,Completed
575,575,Credit Card,749.07,Completed
576,576,Credit Card,243.80,Completed
577,577,Credit Card,22.26,Completed
578,578,Credit Card,206.40,Completed
579,579,Credit Card,329.76,Completed
580,580,Credit Card,302.58,Completed
581,581,Credit Card,28.34,Completed
582,582,Credit Card,5.24,Completed
583,583,Credit Card,748.71,Completed
584,584,Credit Card,21.14,Completed
585,585,Credit Card,915.50,Completed
586,586,Credit Card,237.90,Completed
587,587,Credit Card,783.63,Completed
588,588,Credit Card,22.40,Completed
589,589,Credit Card,423.85,Completed
590,590,Credit Card,150.60,Completed
591,591,Credit Card,20.62,Completed
592,592,Credit Card,160.00,Completed
593,593,Credit Card,321.96,Completed
594,594,Credit Card,237.20,Completed
595,595,Credit Card,147.40,Completed
596,596,Credit Card,239.50,Completed
597,597,Credit Card,451.85,Completed
598,598,Credit Card,336.24,Completed
599,599,Credit Card,808.38,Completed
600,600,Credit Card,141.80,Completed
601,601,Credit Card,66.39,Completed
602,602,Credit Card,807.03,Completed
603,603,Credit Card,305.10,Completed
604,604,Credit Card,28.36,Completed
605,605,Credit Card,342.48,Completed
606,606,Credit Card,302.94,Completed
607,607,Credit Card,0.59,Completed
608,608,Credit Card,304.98,Completed
609,609,Credit Card,784.62,Completed
610,610,Credit Card,315.54,Completed
611,611,Credit Card,925.10,Completed
612,612,Credit Card,720.81,Completed
613,613,Credit Card,791.91,Completed
614,614,Credit Card,9.81,Completed
615,615,Credit Card,73.68,Completed
616,616,Credit Card,340.20,Completed
617,617,Credit Card,477.12,Completed
618,618,Credit Card,804.24,Completed
619,619,Credit Card,757.98,Completed
620,620,Credit Card,634.08,Completed
621,621,Credit Card,797.13,Completed
622,622,Credit Card,985.60,Completed
623,623,Credit Card,779.94,Completed
624,624,Credit Card,560.80,Completed
625,625,Credit Card,339.18,Completed
626,626,Credit Card,902.40,Completed
627,627,Credit Card,332.22,Completed
628,628,Credit Card,83.73,Completed
629,629,Credit Card,27.62,Completed
630,630,Credit Card,62.46,Completed
631,631,Credit Card,74.91,Completed
632,632,Credit Card,306.00,Completed
633,633,Credit Card,5.85,Completed
634,634,Credit Card,943.30,Completed
635,635,Credit Card,39.16,Completed
636,636,Credit Card,931.70,Completed
637,637,Credit Card,999.20,Completed
638,638,Credit Card,66.54,Completed
639,639,Credit Card,5.47,Completed
640,640,Credit Card,0.54,Completed
641,641,Credit Card,343.86,Completed
642,642,Credit Card,767.43,Completed
643,643,Credit Card,129.64,Completed
644,644,Credit Card,9.64,Completed
645,645,Credit Card,249.45,Completed
646,646,Credit Card,229.55,Completed
647,647,Credit Card,73.50,Completed
648,648,Credit Card,753.21,Completed
649,649,Credit Card,425.39,Completed
650,650,Credit Card,139.88,Completed
651,651,Credit Card,772.83,Completed
652,652,Credit Card,33.86,Completed
653,653,Credit Card,356.58,Completed
654,654,Credit Card,85.68,Completed
655,655,Credit Card,988.30,Completed
656,656,Credit Card,228.45,Completed
657,657,Credit Card,73.59,Completed
658,658,Credit Card,68.73,Completed
659,659,Credit Card,728.10,Completed
660,660,Credit Card,563.84,Completed
661,661,Credit Card,927.50,Completed
662,662,Credit Card,22.60,Completed
663,663,Credit Card,216.00,Completed
664,664,Credit Card,785.79,Completed
665,665,Credit Card,137.84,Completed
666,666,Credit Card,326.70,Completed
667,667,Credit Card,979.10,Completed
668,668,Credit Card,564.96,Completed
669,669,Credit Card,71.22,Completed
670,670,Credit Card,337.38,Completed
671,671,Credit Card,70.74,Completed
672,672,Credit Card,81.15,Completed
673,673,Credit Card,745.38,Completed
674,674,Credit Card,479.50,Completed
675,675,Credit Card,235.45,Completed
676,676,Credit Card,248.70,Completed
677,677,Credit Card,153.20,Completed
678,678,Credit Card,89.01,Completed
679,679,Credit Card,232.60,Completed
680,680,Credit Card,970.80,Completed
681,681,Credit Card,743.40,Completed
682,682,Credit Card,35.08,Completed
683,683,Credit Card,23.68,Completed
684,684,Credit Card,28.46,Completed
685,685,Credit Card,313.08,Completed
686,686,Credit Card,215.20,Completed
687,687,Credit Card,241.65,Completed
688,688,Credit Card,628.08,Completed
689,689,Credit Card,132.76,Completed
690,690,Credit Card,28.28,Completed
691,691,Credit Card,214.20,Completed
692,692,Credit Card,622.64,Completed
693,693,Credit Card,774.54,Completed
694,694,Credit Card,743.76,Completed
695,695,Credit Card,307.32,Completed
696,696,Credit Card,336.72,Completed
697,697,Credit Card,24.60,Completed
698,698,Credit Card,305.76,Completed
699,699,Credit Card,324.78,Completed
700,700,Credit Card,237.90,Completed
701,701,Credit Card,568.48,Completed
702,702,Credit Card,9.58,Completed
703,703,Credit Card,23.70,Completed
704,704,Credit Card,64.20,Completed
705,705,Credit Card,149.44,Completed
706,706,Credit Card,79.08,Completed
707,707,Credit Card,918.30,Completed
708,708,Credit Card,5.05,Completed
709,709,Credit Card,984.80,Completed
710,710,Credit Card,158.40,Completed
711,711,Credit Card,722.97,Completed
712,712,Credit Card,970.80,Completed
713,713,Credit Card,993.60,Completed
714,714,Credit Card,79.26,Completed
715,715,Credit Card,20.20,Completed
716,716,Credit Card,65.64,Completed
717,717,Credit Card,323.70,Completed
718,718,Credit Card,597.92,Completed
719,719,Credit Card,210.75,Completed
720,720,Credit Card,809.28,Completed
721,721,Credit Card,308.34,Completed
722,722,Credit Card,720.09,Completed
723,723,Credit Card,3.14,Completed
724,724,Credit Card,765.63,Completed
725,725,Credit Card,26.80,Completed
726,726,Credit Card,37.60,Completed
727,727,Credit Card,141.80,Completed
728,728,Credit Card,208.25,Completed
729,729,Credit Card,794.25,Completed
730,730,Credit Card,988.90,Completed
731,731,Credit Card,726.93,Completed
732,732,Credit Card,201.75,Completed
733,733,Credit Card,744.48,Completed
734,734,Credit Card,25.26,Completed
735,735,Credit Card,356.70,Completed
736,736,Credit Card,477.05,Completed
737,737,Credit Card,35.32,Completed
738,738,Credit Card,339.48,Completed
739,739,Credit Card,244.25,Completed
740,740,Credit Card,319.26,Completed
741,741,Credit Card,312.36,Completed
742,742,Credit Card,563.76,Completed
743,743,Credit Card,30.94,Completed
744,744,Credit Card,959.40,Completed
745,745,Credit Card,228.60,Completed
746,746,Credit Card,568.16,Completed
747,747,Credit Card,426.93,Completed
748,748,Credit Card,234.25,Completed
749,749,Credit Card,216.35,Completed
750,750,Credit Card,29.76,Completed
751,751,Credit Card,209.70,Completed
752,752,Credit Card,0.30,Completed
753,753,Credit Card,138.64,Completed
754,754,Credit Card,2.39,Completed
755,755,Credit Card,38.92,Completed
756,756,Credit Card,593.92,Completed
757,757,Credit Card,123.44,Completed
758,758,Credit Card,208.40,Completed
759,759,Credit Card,423.36,Completed
760,760,Credit Card,613.92,Completed
761,761,Credit Card,913.50,Completed
762,762,Credit Card,22.62,Completed
763,763,Credit Card,127.52,Completed
764,764,Credit Card,308.10,Completed
765,765,Credit Card,330.06,Completed
766,766,Credit Card,924.70,Completed
767,767,Credit Card,33.02,Completed
768,768,Credit Card,238.15,Completed
769,769,Credit Card,726.48,Completed
770,770,Credit Card,728.82,Completed
771,771,Credit Card,143.20,Completed
772,772,Credit Card,33.42,Completed
773,773,Credit Card,426.51,Completed
774,774,Credit Card,25.72,Completed
775,775,Credit Card,326.16,Completed
